college,course,category,Round 1,Round 2,Mop-up,Stray,Stray Extended,fees,service_type,counseling
A J Institute of Medical Sciences & Research Centre,Diploma in TB and Chest Diseases,GMP,38368.0,56250.0,56250.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D Emergency Medicine,MU,,101833.0,74134.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,2AG,23724.0,37857.0,40628.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GM,19660.0,30575.0,37857.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GMP,27321.0,55771.0,40644.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GMPH,30607.0,66197.0,66197.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,MU,40104.0,104387.0,88367.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,OPN,20155.0,,,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,S3G,41896.0,56157.0,56157.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Community Medicine,GM,,,210862.0,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Community Medicine,GMH,85593.0,,,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Community Medicine,MU,115447.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Dermatology,GM,1609.0,5625.0,6460.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Dermatology,MNG,30222.0,112726.0,188968.0,,,13515000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Dermatology,MU,13494.0,24121.0,31257.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Forensic Medicine,OPN,,,200690.0,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,3BG,2492.0,8933.0,8933.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,GM,1865.0,4389.0,4389.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,MNG,102654.0,112609.0,197046.0,,198661.0,11015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,MU,13718.0,16752.0,16752.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,OPN,4389.0,10893.0,10893.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,STG,,63340.0,63340.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Microbiology,MU,112971.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,GM,,13752.0,13752.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,GMP,8755.0,20155.0,,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,MNG,115231.0,128764.0,184552.0,,130428.0,10015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,MU,16752.0,34706.0,34706.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,NRI,102875.0,,,,,10015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,OPN,,18844.0,18844.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,PGM,130370.0,,,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,S2G,,36386.0,36386.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,S3G,,37127.0,37187.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,GM,,56670.0,48315.0,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,GMP,42552.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,MU,71378.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,OPN,39539.0,112971.0,119304.0,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pharmacology,GM,29393.0,,,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pharmacology,MU,101371.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pharmacology,OPN,70743.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Psychiatry,GMP,23931.0,64129.0,64129.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Psychiatry,MU,40074.0,71378.0,71378.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Psychiatry,S3G,60512.0,63481.0,72228.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,3BG,2820.0,8022.0,8022.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,GM,1034.0,4471.0,4471.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,GMPH,6628.0,15553.0,15553.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,MNG,114447.0,,209639.0,210051.0,210172.0,12515000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,MU,10569.0,8856.0,24121.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,OPN,2490.0,5846.0,5846.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Therapy,GMPH,39223.0,98115.0,98115.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Therapy,OPN,20869.0,42232.0,42232.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Therapy,S3G,56436.0,116502.0,116502.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Respiratory Medicine,3BG,14550.0,25293.0,25293.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Respiratory Medicine,GM,,17272.0,22650.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Respiratory Medicine,MNG,,,135520.0,,,10015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Respiratory Medicine,MU,23340.0,40074.0,40074.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. ENT,3BG,25631.0,42497.0,46231.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. ENT,GMPH,44998.0,75105.0,124410.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. ENT,MU,43213.0,117530.0,130754.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. General Surgery,GM,6775.0,14959.0,14596.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. General Surgery,GMP,14959.0,27321.0,33119.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. General Surgery,MNG,91780.0,,170102.0,,,7515000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. General Surgery,MU,31982.0,50762.0,50762.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Obstetrics and Gynecology,2AG,9334.0,15572.0,22089.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Obstetrics and Gynecology,GM,,13872.0,16002.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Obstetrics and Gynecology,GMPH,17846.0,27274.0,25648.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Obstetrics and Gynecology,MNG,114521.0,114521.0,214010.0,216480.0,,10015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Obstetrics and Gynecology,MU,,23831.0,65928.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Obstetrics and Gynecology,OPN,12211.0,22083.0,22083.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Opthalamology,GMH,23700.0,38643.0,38643.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Opthalamology,MNG,,,138988.0,,,7515000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Opthalamology,MU,34706.0,114921.0,114921.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Orthopedics,2AG,16025.0,31870.0,31870.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Orthopedics,GM,12726.0,25679.0,28535.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Orthopedics,GMP,21657.0,44827.0,37451.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Orthopedics,MNG,103502.0,,212396.0,,,10015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Orthopedics,MU,31552.0,55383.0,55383.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.S. Orthopedics,OPN,20862.0,25376.0,,,,1387994,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D Emergency Medicine,GM,,26271.0,37756.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D Emergency Medicine,MNG,,,166110.0,,,4515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D Emergency Medicine,OPN,,111259.0,111259.0,,,3015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Anaesthesia,2AG,24104.0,40628.0,42289.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Anaesthesia,GM,20114.0,38478.0,40760.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Anaesthesia,GMP,55200.0,132128.0,145228.0,,,2615000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Anaesthesia,MNG,72944.0,,182688.0,,185492.0,4415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Anaesthesia,NRI,114332.0,,,,,4415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Anaesthesia,OPN,50074.0,94982.0,125915.0,,,2615000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Anaesthesia,S2G,40634.0,56559.0,56559.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Community Medicine,GM,,,142032.0,,,207027,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Community Medicine,S2G,99175.0,,,,,207027,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Dermatology,GMH,4863.0,11391.0,11391.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Dermatology,GMPH,42257.0,87621.0,87621.0,,,5015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Dermatology,MNG,61904.0,106482.0,131149.0,,,9515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Dermatology,NRI,130076.0,,,,,9515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Dermatology,OPN,27303.0,42257.0,42257.0,,,5015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Forensic Medicine,OPN,,,139244.0,,,230000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. General Medicine,GM,3561.0,8123.0,7967.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. General Medicine,GMP,31392.0,41506.0,41506.0,,,4015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. General Medicine,MNG,44720.0,134002.0,141368.0,,,7915000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. General Medicine,OPN,23196.0,36167.0,36167.0,,,4015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. General Medicine,S1G,20492.0,33118.0,33118.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. General Medicine,S1H,21004.0,53793.0,60966.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Microbiology,GM,83121.0,,,,,207027,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Microbiology,OPN,84197.0,,,,,230000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Paediatrics,2AG,9276.0,18726.0,21973.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Paediatrics,GM,6839.0,15852.0,15852.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Paediatrics,GMP,39369.0,62260.0,62260.0,,,4015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Paediatrics,MNG,,,213676.0,184444.0,,7415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Paediatrics,OPN,37489.0,52666.0,52666.0,,,4015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Paediatrics,S2G,22999.0,38458.0,38737.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pathology,2AG,50481.0,,,,,207027,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pathology,GM,43618.0,105262.0,180542.0,,,207027,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pathology,GMP,55720.0,,,,,415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pathology,MNG,73698.0,,,,,1415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pathology,OPN,43629.0,,204101.0,,,415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pathology,STG,119881.0,,,,,207027,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pharmacology,2AG,90530.0,,,,,207027,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Pharmacology,OPN,65227.0,,,,,230000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Psychiatry,GM,20048.0,37890.0,37890.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Psychiatry,MNG,,,145811.0,170809.0,,4415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Psychiatry,NRI,92038.0,,,,,4415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Psychiatry,OPN,39118.0,,116170.0,,,2515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Radio Diagnosis,GMP,29776.0,49774.0,49774.0,126254.0,,5015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Radio Diagnosis,GMPH,42633.0,66178.0,66178.0,,,5015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Radio Diagnosis,MNG,,118075.0,118075.0,,,9515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Radio Diagnosis,OPN,27744.0,44469.0,44469.0,,,5015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Radio Diagnosis,S1G,,21004.0,21004.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Respiratory Medicine,GMP,43402.0,64389.0,64389.0,,,3015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Respiratory Medicine,OPN,34958.0,63210.0,63210.0,,,3015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Respiratory Medicine,S2G,38737.0,46854.0,62632.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. ENT,GM,20098.0,38411.0,38411.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. ENT,GMP,48591.0,130754.0,126766.0,,,2615000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. ENT,MNG,,,164003.0,,,4215000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. ENT,NRI,93947.0,,,,,4215000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. ENT,OPN,42443.0,113691.0,113691.0,,,2615000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. ENT,S3G,,64649.0,64649.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,3BG,16071.0,38526.0,38526.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,GM,10780.0,24497.0,29464.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,GMH,15996.0,34768.0,34768.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,GMP,50775.0,116010.0,128399.0,,,3515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,GMPH,58604.0,,,,,3515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,MNG,83323.0,,192895.0,,,6315000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,OPN,47299.0,81939.0,115930.0,,,3515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. General Surgery,S1G,43788.0,69603.0,69603.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,1G,17659.0,26586.0,26586.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,2AG,,16584.0,18718.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,GM,6359.0,15691.0,15691.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,GMP,42384.0,56176.0,56176.0,,,4015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,MNG,,90805.0,167208.0,,,7415000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,OPN,18610.0,48255.0,48255.0,,,4015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,S3G,25399.0,39323.0,39323.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Obstetrics and Gynecology,STG,62252.0,62252.0,73246.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Opthalamology,GM,16627.0,33730.0,33730.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Opthalamology,GMH,20966.0,45037.0,45037.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Opthalamology,GMP,49405.0,75864.0,75864.0,,,3015000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Opthalamology,MNG,74965.0,,182185.0,,,5315000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,2AG,22713.0,36741.0,44099.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,GM,17760.0,28721.0,29732.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,GMH,,43160.0,43160.0,,,783108,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,GMP,56944.0,89903.0,95354.0,,,3515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,GMPH,66347.0,121183.0,121183.0,,,3515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,MNG,,,181481.0,,,6815000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,OPN,45607.0,79758.0,88681.0,,,3515000,Non-Inservice,KEA
Adichunchanagiri Institute of Medical Sciences Bellur,M.S. Orthopedics,S3G,31058.0,50117.0,51830.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D Emergency Medicine,1G,,79307.0,79307.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D Emergency Medicine,2BG,30702.0,30702.0,52253.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D Emergency Medicine,ME,67177.0,109379.0,109379.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D Emergency Medicine,OPN,21719.0,46110.0,46110.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,2AG,,50442.0,50442.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,3AG,,44047.0,44047.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GM,22264.0,35041.0,36209.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GMP,,93088.0,112654.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GMPH,35102.0,115809.0,115809.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,ME,61403.0,122337.0,122337.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,OPN,29748.0,67086.0,67086.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Biochemistry,GM,,,151001.0,,,111015,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Community Medicine,2BG,86220.0,,,,,207027,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Community Medicine,GM,83983.0,,226460.0,,,207027,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Dermatology,GM,,6981.0,6981.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Dermatology,GMP,,14192.0,14192.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Dermatology,ME,14192.0,19483.0,19483.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Dermatology,MNG,64939.0,,199464.0,207734.0,,12615000,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Dermatology,S1G,19293.0,19293.0,19293.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. General Medicine,GM,6350.0,12233.0,12233.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. General Medicine,GMPH,14556.0,22010.0,22010.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. General Medicine,ME,21340.0,35800.0,35800.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. General Medicine,MNG,100296.0,,216140.0,197807.0,181446.0,9515000,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. General Medicine,S3G,22761.0,31058.0,31058.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Microbiology,GM,95058.0,,,,,207027,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Microbiology,OPN,58363.0,,,,,358253,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Paediatrics,2AG,11652.0,21646.0,21646.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Paediatrics,3AG,,19799.0,20339.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Paediatrics,GM,8232.0,17541.0,17541.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Paediatrics,GMP,14338.0,26781.0,,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Paediatrics,ME,,60782.0,60782.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Paediatrics,MNG,105692.0,,164034.0,185392.0,,8115000,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Pathology,GM,28270.0,133655.0,138878.0,,,207027,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Pathology,ME,91579.0,,,,,358253,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Pathology,S1G,73437.0,,,,,207027,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Pharmacology,2AG,103317.0,,,,,207027,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Pharmacology,GM,102403.0,,177911.0,,,207027,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Pharmacology,MNG,,,,205673.0,,215000,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Psychiatry,2AG,42754.0,80799.0,84144.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Psychiatry,3AG,,82187.0,82187.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Psychiatry,GM,22681.0,58185.0,58185.0,,,783108,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Psychiatry,ME,45814.0,92783.0,92783.0,,,1387994,Non-Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,GMP,6733.0,16064.0,17148.0,,,1387994,Non-Inservice,KEA
