college,course,category,Round 1,Round 2,Mop-up,fees,service_type,counseling
JJM Medical College,M.D. Radio Diagnosis,GM,92336.0,92336.0,,783108,Inservice,KEA
K V G Medical College,M.D. General Medicine,GM,,,103171.0,783108,Inservice,KEA
K V G Medical College,M.D. Radio Diagnosis,GM,,97902.0,97902.0,783108,Inservice,KEA
KC General Hospital,DNB Anaesthesia,GM,121152.0,,180362.0,125000,Inservice,KEA
KC General Hospital,DNB General Medicine,GM,62120.0,133632.0,118136.0,125000,Inservice,KEA
KC General Hospital,DNB General Medicine,S2G,98003.0,,,125000,Inservice,KEA
KC General Hospital,DNB General Surgery,GM,117834.0,,170949.0,125000,Inservice,KEA
KC General Hospital,DNB Obstetrics and Gynecology,GM,53795.0,,125267.0,125000,Inservice,KEA
KC General Hospital,DNB in Paediatrics,GM,,95264.0,,125000,Inservice,KEA
KC General Hospital,Diploma in Anesthesia,GM,,,197467.0,125000,Inservice,KEA
KC General Hospital,Diploma in Medical Radio Diagnosis,GM,,76214.0,118635.0,125000,Inservice,KEA
KC General Hospital,Diploma in Obstetrics and Gynecology,GM,,,199940.0,125000,Inservice,KEA
KC General Hospital,Diploma in Opthalamology,GM,,,190910.0,125000,Inservice,KEA
KC General Hospital,Diploma in Paediatrics,GM,104048.0,,147263.0,125000,Inservice,KEA
Kanachur Institute of Medical Sciences,M.D. Radio Diagnosis,GM,,98703.0,,783108,Inservice,KEA
Karnataka Institute of Medical Sciences,M.D. General Medicine,GM,89365.0,61429.0,61429.0,123400,Inservice,KEA
Karnataka Institute of Medical Sciences,M.D. Radio Diagnosis,GM,64372.0,56088.0,,123400,Inservice,KEA
Karnataka Institute of Medical Sciences,M.S. Obstetrics and Gynecology,GM,,110196.0,,123400,Inservice,KEA
Karnataka Institute of Medical Sciences,M.S. Obstetrics and Gynecology,S3G,,125896.0,,123400,Inservice,KEA
Karwar Institute of Medical Sciences,M.D. Anaesthesia,GM,114525.0,,,123400,Inservice,KEA
Kempegowda Institute of Medical Sciences,M.D. Radio Diagnosis,GM,,54549.0,,783108,Inservice,KEA
Kodagu Institute of Medical Sciences,M.D. Anaesthesia,GM,70561.0,,,123400,Inservice,KEA
Koppal Institute of Medical Sciences Koppal,M.D. General Medicine,GM,,105371.0,105371.0,123400,Inservice,KEA
M S Ramaiah Medical College,M.D. General Medicine,GM,,,137662.0,808108,Inservice,KEA
MVJ Medical College and Research Hospital,M.D. Anaesthesia,GM,120173.0,,,783108,Inservice,KEA
Mandya Institute of Medical Sciences,M.D. Anaesthesia,S1G,127830.0,,,123400,Inservice,KEA
Mandya Institute of Medical Sciences,M.D. General Medicine,GM,,92146.0,,123400,Inservice,KEA
Mandya Institute of Medical Sciences,M.S. Obstetrics and Gynecology,GM,,114534.0,,123400,Inservice,KEA
Mysore Medical College and Research Instt. (Prev.name Government Medical College),M.D. Anaesthesia,GM,69894.0,121152.0,,123400,Inservice,KEA
Mysore Medical College and Research Instt. (Prev.name Government Medical College),M.D. General Medicine,GM,106140.0,70561.0,,123400,Inservice,KEA
Mysore Medical College and Research Instt. (Prev.name Government Medical College),M.D. Radio Diagnosis,S3G,125896.0,101361.0,101361.0,123400,Inservice,KEA
Mysore Medical College and Research Instt. (Prev.name Government Medical College),M.S. Obstetrics and Gynecology,1G,,89968.0,,123400,Inservice,KEA
Mysore Medical College and Research Instt. (Prev.name Government Medical College),M.S. Opthalamology,GM,107836.0,107836.0,,123400,Inservice,KEA
Mysore Medical College and Research Instt. (Prev.name Government Medical College),M.S. Orthopedics,GM,,27606.0,,123400,Inservice,KEA
Navodaya Medical College,M.D. Radio Diagnosis,GM,,99292.0,99292.0,783108,Inservice,KEA
Navodaya Medical College,M.S. General Surgery,GM,,,159233.0,783108,Inservice,KEA
