college,course,category,Round 1,Round 2,Round 3,Stray Vacancy
Gandhi Medical College,M.D. (GENERAL MEDICINE),Open,519.0,667.0,758.0,
Government T D Medical College,M.D. (GENERAL MEDICINE),OBC,560.0,,,
Madras Medical College,M.D. (GENERAL MEDICINE),OBC,594.0,,,
Esic Medical College & Hospital,M.D. (GENERAL MEDICINE),Open,597.0,,,
Dr Ram Manohar Lohia Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,598.0,,,
Mysore Medical College And Research Institute,M.D. (GENERAL MEDICINE),Open,624.0,,,
Pandit Bhagwat Dayal Sharma Post Graduate Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),EWS,633.0,,,
Government Medical College Patiala.,M.D. (GENERAL MEDICINE),Open,641.0,,,
Employees State Insurance Corporation Medical College And,M.D. (GENERAL MEDICINE),Open,677.0,,,
Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,680.0,,,
Stanley Medical College,M.D. (GENERAL MEDICINE),OBC,686.0,914.0,,
M. P. Shah Government Medical College,M.D. (GENERAL MEDICINE),Open,689.0,,1765.0,
Govt. Medical College,M.D. (GENERAL MEDICINE),EWS,701.0,,3230.0,
Osmania Medical Collge,M.D. (GENERAL MEDICINE),OBC,715.0,932.0,,
Govt. Medical College And Hospital,M.D. (GENERAL MEDICINE),EWS,737.0,,,
Government Medical College - Kannur,M.D. (GENERAL MEDICINE),Open,740.0,,,
Osmania Medical Collge,M.D. (GENERAL MEDICINE),EWS,741.0,,,
Guru Gobind Singh Medical College,M.D. (GENERAL MEDICINE),Open,757.0,,,
Lokmanya Tilak Medical College Mumbai,M.D. (GENERAL MEDICINE),EWS,791.0,,,
King Georges Medical University,M.D. (GENERAL MEDICINE),EWS,802.0,,,
Govt. Medical College And Hospital,M.D. (GENERAL MEDICINE),OBC,804.0,,,
Topiwala National Medical College,M.D. (GENERAL MEDICINE),EWS,814.0,,,
B.J.Government Medical College,M.D. (GENERAL MEDICINE),Open,818.0,,1612.0,
Bangalore Medical College And Research Institute,M.D. (GENERAL MEDICINE),EWS,835.0,,,
Ipgme&R And Sskm Hospital Kolkata,M.D. (GENERAL MEDICINE),EWS,877.0,,,
Lokmanya Tilak Medical College Mumbai,M.D. (GENERAL MEDICINE),OBC,904.0,,,
North Eastern Indira Gandhi Regional Institute Of Health & Medical Sciences,M.D. (GENERAL MEDICINE),Open,937.0,,,
Government Kilpauk Medical College,M.D. (GENERAL MEDICINE),Open,942.0,,1965.0,
Tirunelveli Medical College,M.D. (GENERAL MEDICINE),Open,947.0,913.0,,
Coimbatore Medical College,M.D. (GENERAL MEDICINE),Open,953.0,,2247.0,
Gandhi Medical College,M.D. (GENERAL MEDICINE),EWS,974.0,1074.0,,
Maharaja Krushna Chandra Gajapati Medical College,M.D. (GENERAL MEDICINE),Open,981.0,,,
Andhra Medical College,M.D. (GENERAL MEDICINE),EWS,982.0,,,
Madurai Medical College,M.D. (GENERAL MEDICINE),OBC,988.0,,,
Kurnool Medical College,M.D. (GENERAL MEDICINE),Open,990.0,,,
Gandhi Medical College,M.D. (GENERAL MEDICINE),Open,997.0,1150.0,,
Vijanagara Institute Of Medical Sciences Ballari,M.D. (GENERAL MEDICINE),Open,1021.0,,,
Sawai Man Singh Medical College,M.D. (GENERAL MEDICINE),EWS,1054.0,,,
Esic Medical College And Pgimsr,M.D. (GENERAL MEDICINE),Open,1062.0,,,
Mandya Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,1070.0,,,
Pandit Bhagwat Dayal Sharma Post Graduate Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,1077.0,,,
Dr. Sampurnanand Medical College (Snmc),M.D. (GENERAL MEDICINE),Open,1080.0,,,
Mysore Medical College And Research Institute,M.D. (GENERAL MEDICINE),EWS,1081.0,,,
Topiwala National Medical College,M.D. (GENERAL MEDICINE),OBC,1090.0,,1740.0,
Nil Ratan Sircar Medical College,M.D. (GENERAL MEDICINE),Open,1093.0,,1043.0,
Esic Medical College & Hospital,M.D. (GENERAL MEDICINE),EWS,1107.0,,,
Rajarshee Chhatrapati Shahu Maharaj Government Medical College,M.D. (GENERAL MEDICINE),Open,1118.0,,,
Hassan Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,1132.0,,,
R G Kar Medical College,M.D. (GENERAL MEDICINE),Open,1159.0,,,
Goa Medical College,M.D. (GENERAL MEDICINE),Open,1162.0,1737.0,,
Thanjavur Medical College,M.D. (GENERAL MEDICINE),Open,1169.0,,1975.0,
Shimoga Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,1175.0,,,
Pimpri Chichwad Municipal Corporation Postgraduate Institute Y.C.M.Hospital,M.D. (GENERAL MEDICINE),Open,1180.0,,,
Indira Gandhi Govt.Medical College Nagpur,M.D. (GENERAL MEDICINE),Open,1197.0,,,
Dr. Sampurnanand Medical College (Snmc),M.D. (GENERAL MEDICINE),EWS,1199.0,,,
Madras Medical College,M.D. (GENERAL MEDICINE),EWS,1207.0,,,
Hinduhridayasamrat Balasaheb Thackeray Medical College And Dr. R. N. Cooper,M.D. (GENERAL MEDICINE),OBC,1208.0,,,
Mandya Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),EWS,1211.0,,,
Gadag Institute Of Medical Sciences Gadag,M.D. (GENERAL MEDICINE),Open,1212.0,,,
Tirunelveli Medical College,M.D. (GENERAL MEDICINE),OBC,1217.0,2286.0,2448.0,7752.0
Gandhi Medical College,M.D. (GENERAL MEDICINE),OBC,1222.0,,1529.0,
Calcutta National Medical College,M.D. (GENERAL MEDICINE),Open,1225.0,,1556.0,
Mysore Medical College And Research Institute,M.D. (GENERAL MEDICINE),OBC,1242.0,,,
M. P. Shah Government Medical College,M.D. (GENERAL MEDICINE),EWS,1258.0,,2641.0,
Government Medical College Hospital,M.D. (GENERAL MEDICINE),Open,1263.0,,2888.0,
Ganesh Shankar Vidyarthi Memorial Medical College,M.D. (GENERAL MEDICINE),Open,1279.0,,,
Srirama Chandra Bhanja Medical College,M.D. (GENERAL MEDICINE),EWS,1291.0,,,
Government Kilpauk Medical College,M.D. (GENERAL MEDICINE),OBC,1300.0,,2502.0,
Coimbatore Medical College,M.D. (GENERAL MEDICINE),OBC,1317.0,,,
Kakatiya Medical College,M.D. (GENERAL MEDICINE),Open,1335.0,1202.0,1937.0,
Sher-I-Kashmir Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,1338.0,,,
Raichur Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,1342.0,,4046.0,
Gulbarga Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,1355.0,,,
Esic Medical College,M.D. (GENERAL MEDICINE),OBC,1369.0,,,
Kurnool Medical College,M.D. (GENERAL MEDICINE),EWS,1376.0,,,
Stanley Medical College,M.D. (GENERAL MEDICINE),EWS,1402.0,,,
Vss Institute Of Medical Sciences And Research,M.D. (GENERAL MEDICINE),Open,1421.0,,,6397.0
Maulana Azad Medical College,M.D. (GENERAL MEDICINE),SC,1442.0,,,
Mahatma Gandhi Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,1444.0,,,
Andhra Medical College,M.D. (GENERAL MEDICINE),OBC,1446.0,1806.0,,
Govt. Medical College,M.D. (GENERAL MEDICINE),Open,1451.0,599.0,3030.0,
Thanjavur Medical College,M.D. (GENERAL MEDICINE),OBC,1460.0,,2467.0,
Dr. Shankarrao Chavan Government Medical College,M.D. (GENERAL MEDICINE),Open,1469.0,,,
Seth Gordhandas Sunderdas Medical College,M.D. (GENERAL MEDICINE),SC,1472.0,,,
College Of Medicine & Sagore Dutta Hospital,M.D. (GENERAL MEDICINE),Open,1479.0,,3011.0,8814.0
Patna Medical College,M.D. (GENERAL MEDICINE),Open,1488.0,,,
Jawahar Lal Nehru Medical College,M.D. (GENERAL MEDICINE),Open,1521.0,,,
Government Medical College Kozhikode,M.D. (GENERAL MEDICINE),EWS,1522.0,,,
K.A.P.Viswanatham Government Medical College,M.D. (GENERAL MEDICINE),Open,1533.0,,2823.0,
Shimoga Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),EWS,1555.0,,,
B.J.Government Medical College,M.D. (GENERAL MEDICINE),EWS,1569.0,,,
Chengalpattu Medical College,M.D. (GENERAL MEDICINE),Open,1575.0,,3107.0,
Chengalpattu Medical College,M.D. (GENERAL MEDICINE),OBC,1591.0,,,
Netaji Subhash Chandra Bose Medical College,M.D. (GENERAL MEDICINE),Open,1613.0,,,
Kakatiya Medical College,M.D. (GENERAL MEDICINE),EWS,1638.0,1627.0,,
Nizams Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),ST,1672.0,,,
Indira Gandhi Medical College And Research Institute,M.D. (GENERAL MEDICINE),Open,1681.0,,,
Burdwan Medical College,M.D. (GENERAL MEDICINE),Open,1684.0,2197.0,,
Dr. Baba Saheb Ambedkar Hospital,M.D. (GENERAL MEDICINE),Open,1689.0,,,
Govt. Doon Medical College,M.D. (GENERAL MEDICINE),Open,1692.0,,,
Government Mohan Kumaramangalam Medical College,M.D. (GENERAL MEDICINE),Open,1695.0,,,
King Georges Medical University,M.D. (GENERAL MEDICINE),OBC,1698.0,,,
Vss Institute Of Medical Sciences And Research,M.D. (GENERAL MEDICINE),EWS,1727.0,,,
St. Stephen`S Hospital,M.D. (GENERAL MEDICINE),Open,1732.0,,,
Maharashtra Post Graduate Institute Of Medical Education And Research,M.D. (GENERAL MEDICINE),Open,1737.0,,,
Shimoga Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,1745.0,,,
Gandhi Medical College,M.D. (GENERAL MEDICINE),EWS,1749.0,,,
Esic Medical College & Hospital,M.D. (GENERAL MEDICINE),OBC,1756.0,,,
Government Mohan Kumaramangalam Medical College,M.D. (GENERAL MEDICINE),OBC,1760.0,,170749.0,
Esic Medical College And Pgimsr,M.D. (GENERAL MEDICINE),EWS,1776.0,,,
Employees State Insurance Corporation Medical College And,M.D. (GENERAL MEDICINE),OBC,1778.0,,,
Government Vellore Medical College,M.D. (GENERAL MEDICINE),Open,1780.0,,,8425.0
K.A.P.Viswanatham Government Medical College,M.D. (GENERAL MEDICINE),OBC,1816.0,,,
Vijanagara Institute Of Medical Sciences Ballari,M.D. (GENERAL MEDICINE),OBC,1821.0,,,
Mandya Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,1825.0,,,
Government Medical College Hospital,M.D. (GENERAL MEDICINE),OBC,1851.0,,,
Jawahar Lal Nehru Medical College,M.D. (GENERAL MEDICINE),EWS,1859.0,,,
Guntur Medical College,M.D. (GENERAL MEDICINE),EWS,1864.0,,,
B.J.Government Medical College,M.D. (GENERAL MEDICINE),OBC,1870.0,,2809.0,
Dr Ram Manohar Lohia Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,1872.0,,,
Hassan Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,1918.0,,,
Indira Gandhi Govt.Medical College Nagpur,M.D. (GENERAL MEDICINE),EWS,1932.0,,,
Pimpri Chichwad Municipal Corporation Postgraduate Institute Y.C.M.Hospital,M.D. (GENERAL MEDICINE),OBC,1935.0,,,
Esi-Post Graduate Institute Of Medical Sciences And Research,M.D. (GENERAL MEDICINE),Open,1946.0,,,
Swami Ramanand Teerth Rural Government Medical College,M.D. (GENERAL MEDICINE),Open,1962.0,,,
Goa Medical College,M.D. (GENERAL MEDICINE),EWS,1963.0,,,
Government Villupuram Medical College,M.D. (GENERAL MEDICINE),Open,1965.0,,,
Kanyakumari Government Medical College,M.D. (GENERAL MEDICINE),Open,2002.0,,,8379.0
Esic Medical College And Pgimsr,M.D. (GENERAL MEDICINE),OBC,2013.0,,1951.0,7833.0
Government Medical College Kota,M.D. (GENERAL MEDICINE),Open,2033.0,,,
Kurnool Medical College,M.D. (GENERAL MEDICINE),OBC,2035.0,,2424.0,
Patna Medical College,M.D. (GENERAL MEDICINE),OBC,2042.0,,,
Post Graduate Institute Of Medical Sciences (Pgims),M.D. (GENERAL MEDICINE),OBC,2045.0,,,
Government Medical College Patiala.,M.D. (GENERAL MEDICINE),EWS,2057.0,,,
Guntur Medical College,M.D. (GENERAL MEDICINE),OBC,2062.0,,,
Maharashtra Post Graduate Institute Of Medical Education And Research,M.D. (GENERAL MEDICINE),EWS,2095.0,,,
Government Thoothukudi Medical College,M.D. (GENERAL MEDICINE),Open,2101.0,,,
B. J. Medical College,M.D. (GENERAL MEDICINE),OBC,2102.0,2109.0,,
Indira Gandhi Govt.Medical College Nagpur,M.D. (GENERAL MEDICINE),OBC,2113.0,,,
Karwar Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,2119.0,,5031.0,
Dr. Shankarrao Chavan Government Medical College,M.D. (GENERAL MEDICINE),EWS,2133.0,,,
Mahatma Gandhi Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),EWS,2135.0,,,
Government Medical College,M.D. (GENERAL MEDICINE),EWS,2136.0,7309.0,1112.0,6617.0
Chamarajanagar Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,2165.0,,4954.0,
Siddhartha Medical College,M.D. (GENERAL MEDICINE),Open,2171.0,1957.0,2074.0,
Dr. Shankarrao Chavan Government Medical College,M.D. (GENERAL MEDICINE),OBC,2172.0,,,
B. J. Medical College,M.D. (GENERAL MEDICINE),SC,2184.0,,,
Rims Medical College,M.D. (GENERAL MEDICINE),Open,2188.0,3233.0,3879.0,
Kanyakumari Government Medical College,M.D. (GENERAL MEDICINE),OBC,2189.0,,,
Dr. Rajendra Prasad Government Medical College,M.D. (GENERAL MEDICINE),Open,2190.0,,,
Kakatiya Medical College,M.D. (GENERAL MEDICINE),OBC,2207.0,2630.0,,
Jhalawar Medical College,M.D. (GENERAL MEDICINE),Open,2218.0,,,
Assam Medical College,M.D. (GENERAL MEDICINE),Open,2231.0,3201.0,3533.0,9932.0
Patna Medical College,M.D. (GENERAL MEDICINE),EWS,2237.0,,,
Bidar Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,2245.0,,,
Sri Bhausaheb Hire Government Medical College,M.D. (GENERAL MEDICINE),EWS,2255.0,,,
Mahatma Gandhi Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,2264.0,,,
Sarojini Naidu Medical College,M.D. (GENERAL MEDICINE),Open,2274.0,2725.0,,
Government Sivagangai Medical College And Hospital,M.D. (GENERAL MEDICINE),Open,2278.0,,4747.0,
Employees' State Insurance Corporation Medical College & Hospital,M.D. (GENERAL MEDICINE),Open,2280.0,,,
Dr. Sampurnanand Medical College (Snmc),M.D. (GENERAL MEDICINE),OBC,2309.0,,,
Chamarajanagar Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,2323.0,,,
Government Medical College Kota,M.D. (GENERAL MEDICINE),EWS,2343.0,,,
Rajiv Gandhi Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,2348.0,,,
Pt. Jawahar Lal Nehru Memorial Medical College,M.D. (GENERAL MEDICINE),Open,2356.0,,4292.0,
Government Medical College Kadapa (Formerly Rajiv Gandhi,M.D. (GENERAL MEDICINE),Open,2374.0,,,
Gandhi Medical College,M.D. (GENERAL MEDICINE),OBC,2375.0,2909.0,2551.0,
Sal Hospital And Medical Institute,M.D. (GENERAL MEDICINE),Open,2403.0,,,
Govt. Medical College,M.D. (GENERAL MEDICINE),EWS,2404.0,,,
Jhalawar Medical College,M.D. (GENERAL MEDICINE),EWS,2428.0,,,
Maharaja Krushna Chandra Gajapati Medical College,M.D. (GENERAL MEDICINE),OBC,2437.0,,,
Holy Family Hospital,M.D. (GENERAL MEDICINE),Open,2444.0,,,
Gajra Raja Medical College Gwalior,M.D. (GENERAL MEDICINE),EWS,2455.0,,,
Nalanda Medical College,M.D. (GENERAL MEDICINE),Open,2459.0,,,
Autonomous State Medical College,M.D. (GENERAL MEDICINE),Open,2471.0,,,
Government Thoothukudi Medical College,M.D. (GENERAL MEDICINE),OBC,2497.0,,3170.0,
Ganesh Shankar Vidyarthi Memorial Medical College,M.D. (GENERAL MEDICINE),OBC,2539.0,,,
Pt. Jawahar Lal Nehru Memorial Medical College,M.D. (GENERAL MEDICINE),EWS,2543.0,,5513.0,
Gvernment Medical College,M.D. (GENERAL MEDICINE),Open,2549.0,,,
Goa Medical College,M.D. (GENERAL MEDICINE),OBC,2557.0,2913.0,,
Government Vellore Medical College,M.D. (GENERAL MEDICINE),OBC,2562.0,,,
Siddhartha Medical College,M.D. (GENERAL MEDICINE),OBC,2582.0,2987.0,2956.0,7911.0
Ganesh Shankar Vidyarthi Memorial Medical College,M.D. (GENERAL MEDICINE),EWS,2583.0,,,
Government Dharmapuri Medical College,M.D. (GENERAL MEDICINE),Open,2588.0,,4508.0,9759.0
Govt. Bundelkhand Medical College Sagar M.P.,M.D. (GENERAL MEDICINE),Open,2612.0,,4786.0,
Bangalore Medical College And Research Institute,M.D. (GENERAL MEDICINE),SC,2626.0,,,
Rajarshee Chhatrapati Shahu Maharaj Government Medical College,M.D. (GENERAL MEDICINE),OBC,2628.0,,,
Government Thiruvannamalai Medical College,M.D. (GENERAL MEDICINE),Open,2631.0,,4712.0,
Sjp Medical College,M.D. (GENERAL MEDICINE),Open,2664.0,3554.0,,
Ipgme&R And Sskm Hospital Kolkata,M.D. (GENERAL MEDICINE),OBC,2665.0,,,
Netaji Subhash Chandra Bose Medical College,M.D. (GENERAL MEDICINE),EWS,2676.0,,,
Rajiv Gandhi Institute Of Medical Sciences Srikakulam,M.D. (GENERAL MEDICINE),Open,2687.0,,,
Government Medical College Kota,M.D. (GENERAL MEDICINE),OBC,2709.0,,,
Government Villupuram Medical College,M.D. (GENERAL MEDICINE),OBC,2714.0,,3593.0,
Maharashtra Post Graduate Institute Of Medical Education And Research,M.D. (GENERAL MEDICINE),OBC,2716.0,,,
Government Medical College Kadapa (Formerly Rajiv Gandhi,M.D. (GENERAL MEDICINE),OBC,2729.0,,,
Shaikh-Ul-Hind Maulana Mahmood Hasan Medical College,M.D. (GENERAL MEDICINE),Open,2731.0,,3034.0,
Acsr Government Medical College,M.D. (GENERAL MEDICINE),Open,2755.0,,,
Government Dharmapuri Medical College,M.D. (GENERAL MEDICINE),OBC,2776.0,,,
Silchar Medical College,M.D. (GENERAL MEDICINE),Open,2810.0,3906.0,,
Swami Ramanand Teerth Rural Government Medical College,M.D. (GENERAL MEDICINE),OBC,2813.0,,,
Government Sivagangai Medical College And Hospital,M.D. (GENERAL MEDICINE),OBC,2817.0,,,
M. P. Shah Government Medical College,M.D. (GENERAL MEDICINE),OBC,2835.0,,4258.0,
Govt Medical College,M.D. (GENERAL MEDICINE),OBC,2853.0,3789.0,4629.0,
Government Thiruvannamalai Medical College,M.D. (GENERAL MEDICINE),OBC,2854.0,,,
Guru Gobind Singh Medical College,M.D. (GENERAL MEDICINE),EWS,2862.0,,,
Rajiv Gandhi Institute Of Medical Sciences Srikakulam,M.D. (GENERAL MEDICINE),EWS,2885.0,,,
Raichur Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,2909.0,,4486.0,
Rims Medical College,M.D. (GENERAL MEDICINE),OBC,2956.0,3444.0,5100.0,
Bidar Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,2961.0,,,
Tezpur Medical College,M.D. (GENERAL MEDICINE),Open,2996.0,5095.0,6922.0,
Swami Dayanand Hospital,M.D. (GENERAL MEDICINE),Open,3016.0,,,
Rajiv Gandhi Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,3024.0,,,
Government Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,3034.0,,,
Government Kilpauk Medical College,M.D. (GENERAL MEDICINE),EWS,3045.0,,,
Pt. Jawahar Lal Nehru Memorial Medical College,M.D. (GENERAL MEDICINE),OBC,3064.0,,,
Chhattisgarh Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),Open,3102.0,,,
Darbhanga Medical College,M.D. (GENERAL MEDICINE),EWS,3124.0,,5204.0,
Jehangir Hospital,M.D. (GENERAL MEDICINE),Open,3147.0,,,
Rims Medical College,M.D. (GENERAL MEDICINE),EWS,3205.0,3580.0,,
Govt Medical College,M.D. (GENERAL MEDICINE),EWS,3268.0,4478.0,,
Jupiter Hospital,M.D. (GENERAL MEDICINE),Open,3324.0,,,
Kalpana Chawla Govt Medical College,M.D. (GENERAL MEDICINE),Open,3326.0,,,
Netaji Subhash Chandra Bose Medical College,M.D. (GENERAL MEDICINE),OBC,3334.0,,,
Gajra Raja Medical College Gwalior,M.D. (GENERAL MEDICINE),OBC,3351.0,,,
Rajiv Gandhi Institute Of Medical Sciences Srikakulam,M.D. (GENERAL MEDICINE),OBC,3359.0,,,
Rajmata Shrimati Devendra Kumari Singhdeo Government Medical College,M.D. (GENERAL MEDICINE),Open,3382.0,,,12674.0
Government Medical College Patiala.,M.D. (GENERAL MEDICINE),OBC,3450.0,,,
Jawahar Lal Nehru Medical College,M.D. (GENERAL MEDICINE),OBC,3495.0,,,
Lisie Medical Institution,M.D. (GENERAL MEDICINE),Open,3532.0,,,
Jhalawar Medical College,M.D. (GENERAL MEDICINE),OBC,3549.0,,,
Tirunelveli Medical College,M.D. (GENERAL MEDICINE),EWS,3556.0,,,
Medical College,M.D. (GENERAL MEDICINE),OBC,3563.0,,,
Madurai Medical College,M.D. (GENERAL MEDICINE),EWS,3580.0,,,
Coimbatore Medical College,M.D. (GENERAL MEDICINE),EWS,3588.0,,,
Thanjavur Medical College,M.D. (GENERAL MEDICINE),EWS,3596.0,,,
Medical College,M.D. (GENERAL MEDICINE),EWS,3612.0,,,
Jawaharlal Nehru Medical College,M.D. (GENERAL MEDICINE),Open,3618.0,,,
Nil Ratan Sircar Medical College,M.D. (GENERAL MEDICINE),OBC,3632.0,,,
Guru Gobind Singh Medical College,M.D. (GENERAL MEDICINE),OBC,3643.0,,,
Lourdes Hospital,M.D. (GENERAL MEDICINE),Open,3648.0,,,
Vss Institute Of Medical Sciences And Research,M.D. (GENERAL MEDICINE),OBC,3654.0,,,
Dr. B L Kapur Memorial Hospital,M.D. (GENERAL MEDICINE),Open,3751.0,,,
Govt. Bundelkhand Medical College Sagar M.P.,M.D. (GENERAL MEDICINE),OBC,3773.0,,,
Jawaharlal Nehru Medical College,M.D. (GENERAL MEDICINE),EWS,3811.0,,5936.0,
Southern Railway Head Quarter Hospital,M.D. (GENERAL MEDICINE),OBC,3819.0,,,
Shaheed Nirmal Mahto Medical College & Hospital,M.D. (GENERAL MEDICINE),Open,3822.0,,7400.0,
K.A.P.Viswanatham Government Medical College,M.D. (GENERAL MEDICINE),EWS,3877.0,,6883.0,
Sjp Medical College,M.D. (GENERAL MEDICINE),OBC,3883.0,4043.0,,
Medanta The Medicity,M.D. (GENERAL MEDICINE),Open,3892.0,,,
Sarojini Naidu Medical College,M.D. (GENERAL MEDICINE),OBC,3933.0,,,
Government Medical College,M.D. (GENERAL MEDICINE),OBC,3948.0,7920.0,163679.0,11623.0
Govt. Medical College And Hospital,M.D. (GENERAL MEDICINE),SC,3977.0,,5613.0,
Gvernment Medical College,M.D. (GENERAL MEDICINE),OBC,4006.0,,,
Lady Hardinge Medical College,M.D. (GENERAL MEDICINE),SC,4011.0,4011.0,,
Esic Medical College,M.D. (GENERAL MEDICINE),OBC,4013.0,,5745.0,7354.0
Noble Hospital,M.D. (GENERAL MEDICINE),Open,4031.0,,,
Gvernment Medical College,M.D. (GENERAL MEDICINE),EWS,4098.0,,,
Kanyakumari Government Medical College,M.D. (GENERAL MEDICINE),EWS,4131.0,,,
Maharani Laxmi Bai Medical College Jhansi,M.D. (GENERAL MEDICINE),OBC,4147.0,,,
Lady Hardinge Medical College,M.D. (GENERAL MEDICINE),ST,4184.0,,,
Chhattisgarh Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,4212.0,,,
Calcutta National Medical College,M.D. (GENERAL MEDICINE),EWS,4224.0,,6487.0,17290.0
R G Kar Medical College,M.D. (GENERAL MEDICINE),OBC,4233.0,,,
Calcutta National Medical College,M.D. (GENERAL MEDICINE),SC,4285.0,,,
Lokmanya Tilak Medical College Mumbai,M.D. (GENERAL MEDICINE),SC,4309.0,,,
Assam Medical College,M.D. (GENERAL MEDICINE),OBC,4342.0,5938.0,216577.0,
Ipgme&R And Sskm Hospital Kolkata,M.D. (GENERAL MEDICINE),SC,4417.0,,,
Seth Gordhandas Sunderdas Medical College,M.D. (GENERAL MEDICINE),ST,4516.0,,,
Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),SC,4561.0,,,
Caritas Hospital,M.D. (GENERAL MEDICINE),Open,4669.0,,,
Darbhanga Medical College,M.D. (GENERAL MEDICINE),OBC,4690.0,,,
Shaikh-Ul-Hind Maulana Mahmood Hasan Medical College,M.D. (GENERAL MEDICINE),OBC,4704.0,,4780.0,
Government Vellore Medical College,M.D. (GENERAL MEDICINE),EWS,4738.0,,,
Sher-I-Kashmir Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),OBC,4780.0,,,
Tata Main Hospital,M.D. (GENERAL MEDICINE),Open,4809.0,,,
Bethany Hospital,M.D. (GENERAL MEDICINE),Open,4819.0,,,
Masina Hospital,M.D. (GENERAL MEDICINE),Open,4820.0,,,
Rajkiya Medical College,M.D. (GENERAL MEDICINE),OBC,4854.0,5422.0,,
Kalpana Chawla Govt Medical College,M.D. (GENERAL MEDICINE),OBC,4859.0,,,
Sher-I-Kashmir Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),EWS,4878.0,,,
Artemis Health Institute,M.D. (GENERAL MEDICINE),Open,4911.0,,,
Calcutta National Medical College,M.D. (GENERAL MEDICINE),OBC,4981.0,,4795.0,
St. Martha`S Hospital,M.D. (GENERAL MEDICINE),Open,5013.0,,,
Dr. Rajendra Prasad Government Medical College,M.D. (GENERAL MEDICINE),OBC,5030.0,,202658.0,199970.0
Esic Medical College,M.D. (GENERAL MEDICINE),EWS,5045.0,5045.0,,
Esic Medical College,M.D. (GENERAL MEDICINE),SC,5180.0,,,
Jawaharlal Nehru Medical College,M.D. (GENERAL MEDICINE),OBC,5196.0,,1129.0,
Madras Medical College,M.D. (GENERAL MEDICINE),SC,5199.0,,,
Mahatma Gandhi Memorial Medical College,M.D. (GENERAL MEDICINE),EWS,5204.0,,8039.0,
Shaheed Nirmal Mahto Medical College & Hospital,M.D. (GENERAL MEDICINE),OBC,5266.0,,,
College Of Medicine & Sagore Dutta Hospital,M.D. (GENERAL MEDICINE),EWS,5269.0,,,
Manipal Hospital,M.D. (GENERAL MEDICINE),Open,5277.0,,,
Pandit Bhagwat Dayal Sharma Post Graduate Institute Of Medical Sciences,M.D. (GENERAL MEDICINE),SC,5348.0,,,
Mata Chanan Devi Hospital,M.D. (GENERAL MEDICINE),Open,5645.0,,,12304.0
Burdwan Medical College,M.D. (GENERAL MEDICINE),OBC,5661.0,6416.0,,
Medical College,M.D. (GENERAL MEDICINE),SC,5664.0,,,
Rajmata Shrimati Devendra Kumari Singhdeo Government Medical College,M.D. (GENERAL MEDICINE),EWS,5701.0,,,
Osmania Medical Collge,M.D. (GENERAL MEDICINE),SC,5710.0,,,
Employees State Insurance Corporation Medical College And,M.D. (GENERAL MEDICINE),SC,5736.0,,,
Nil Ratan Sircar Medical College,M.D. (GENERAL MEDICINE),EWS,5774.0,,,
Nil Ratan Sircar Medical College,M.D. (GENERAL MEDICINE),SC,5779.0,,,
Silchar Medical College,M.D. (GENERAL MEDICINE),OBC,5781.0,6092.0,8209.0,
Andhra Medical College,M.D. (GENERAL MEDICINE),ST,5923.0,,,
Tezpur Medical College,M.D. (GENERAL MEDICINE),OBC,5938.0,,8580.0,
Fortis Hospital,M.D. (GENERAL MEDICINE),Open,6007.0,,,
