college,course,category,Round 1,Round 2,Round 3,Stray Vacancy
Apollo Hospital,(NBEMS) Emergency Medicine,Open,24668.0,,17580.0,
Vivekanandha Medical Care Hospital,(NBEMS) Emergency Medicine,Open,24864.0,,,40874.0
Ashwini Hospital,(NBEMS) Emergency Medicine,Open,25365.0,,,
Felix Hospital,(NBEMS) Emergency Medicine,Open,25447.0,,,
Heritage Hospital Pvt. Ltd.,(NBEMS) Emergency Medicine,Open,25612.0,,,
Lala Harbhagwan Das Memorial And Dr Prem Hospital,(NBEMS) Emergency Medicine,Open,25763.0,,,
Jaiprakash Hospital And Research Centre Pvt. Ltd,(NBEMS) Emergency Medicine,Open,25829.0,,,39115.0
Shija Hospitals And Research Institute,(NBEMS) Emergency Medicine,Open,25846.0,,,
Health City Hospital,(NBEMS) Emergency Medicine,Open,26252.0,,,
Rahmania Medical Centre,(NBEMS) Emergency Medicine,Open,26372.0,,,45402.0
Vikash Multi Speciality Hospital,(NBEMS) Emergency Medicine,Open,26820.0,,,
Sher-I-Kashmir Institute Of Medical Sciences,(NBEMS) Emergency Medicine,OBC,28175.0,,,
Safdarjung Hospital And Vardhman Mahavir Medical College,(NBEMS) Emergency Medicine,ST,58759.0,,,
Tomo Riba Institute Of Health And Medical Sciences,(NBEMS) Emergency Medicine,ST,64656.0,,,
Alchemist Hospital,(NBEMS) Emergency Medicine,Open,,,32040.0,
Govt. Medical College,(NBEMS) Emergency Medicine,Open,,,37421.0,
K.E.M. Hospital,(NBEMS) Emergency Medicine,Open,,,28350.0,
Kauvery Hospital,(NBEMS) Emergency Medicine,OBC,,,23243.0,
Kamineni Health Care,(NBEMS) Emergency Medicine,Open,,,33595.0,
Sri Sri Holistic Hospital,(NBEMS) Emergency Medicine,Open,,,32698.0,
Malabar Institute Of Medical Sciences,(NBEMS) FAMILY MEDICINE,Open,8428.0,,,
Apollo Hospital,(NBEMS) FAMILY MEDICINE,Open,13740.0,24837.0,,
Iqraa International Hospital And Research Centre,(NBEMS) FAMILY MEDICINE,Open,13819.0,,,
Kerala Institute Of Medical Sciences,(NBEMS) FAMILY MEDICINE,Open,18544.0,,,
Aditya Birla Memorial Hospital,(NBEMS) FAMILY MEDICINE,Open,20441.0,25337.0,,
Christian Fellowship Hospital,(NBEMS) FAMILY MEDICINE,Open,21342.0,22375.0,,
Bangalore Baptist Hospital,(NBEMS) FAMILY MEDICINE,Open,23285.0,28438.0,,39626.0
Medical Trust Hospital,(NBEMS) FAMILY MEDICINE,Open,25726.0,,,
Sadhu Vaswani Missions,(NBEMS) FAMILY MEDICINE,Open,26502.0,28553.0,,41509.0
Maharaja Agarsen Hospital,(NBEMS) FAMILY MEDICINE,Open,26642.0,,,
Apollomedics Superspeciality Hospital,(NBEMS) FAMILY MEDICINE,Open,26902.0,,,
St. Philomena`S Hospital,(NBEMS) FAMILY MEDICINE,Open,27113.0,30296.0,,
Narayana Hrudayalaya Hospital,(NBEMS) FAMILY MEDICINE,Open,27260.0,,,
Jaipur Golden Hospital,(NBEMS) FAMILY MEDICINE,Open,27346.0,,,
Mar Sleeva Medicity Palai,(NBEMS) FAMILY MEDICINE,Open,27373.0,,,
Kle Centenary Charitable Hospital And Mrc,(NBEMS) FAMILY MEDICINE,Open,27450.0,,,
M.G.M. Muthoot Hospital,(NBEMS) FAMILY MEDICINE,Open,27695.0,33692.0,,
Tiruvalla Medical Mission,(NBEMS) FAMILY MEDICINE,Open,28777.0,28869.0,,
Meenakshi Mission Hospital And Research Centre,(NBEMS) FAMILY MEDICINE,Open,28965.0,,,
Esic Medical College And Hospital,(NBEMS) FAMILY MEDICINE,Open,29154.0,,,
Sri Sathya Sai General Hospital,(NBEMS) FAMILY MEDICINE,Open,29495.0,,,
Sparsh Super Specialty Hospital,(NBEMS) FAMILY MEDICINE,Open,30550.0,,,
Government Medical College And Associated Hospital,(NBEMS) FAMILY MEDICINE,Open,30631.0,,,49811.0
Esic Medical College And Hospital,(NBEMS) FAMILY MEDICINE,OBC,30681.0,,,
Dr. Kamakshi Memorial Hospital,(NBEMS) FAMILY MEDICINE,Open,31350.0,,,41345.0
C.S.I. Kalyani General Hospital,(NBEMS) FAMILY MEDICINE,Open,31646.0,,,45896.0
Vadamalayan Hospitals Private Limited,(NBEMS) FAMILY MEDICINE,Open,31814.0,,,
Jaiprakash Hospital And Research Centre Pvt. Ltd,(NBEMS) FAMILY MEDICINE,Open,32061.0,,,
Vasavi Hospital,(NBEMS) FAMILY MEDICINE,Open,32271.0,35643.0,,
Sacred Heart Hospital,(NBEMS) FAMILY MEDICINE,Open,32810.0,36272.0,,50094.0
Government Medical College And Associated Hospital,(NBEMS) FAMILY MEDICINE,OBC,34004.0,,,54125.0
Esic Medical College And Hospital,(NBEMS) FAMILY MEDICINE,SC,42333.0,,,
Government Medical College And Associated Hospital,(NBEMS) FAMILY MEDICINE,SC,43001.0,,,80114.0
Government Medical College And Associated Hospital,(NBEMS) FAMILY MEDICINE,ST,48496.0,,,119250.0
Manayawar Kanshi Ram Distrcit Combined Hospital And Trauma,(NBEMS) FAMILY MEDICINE,SC,52946.0,,,
Apollo Adlux Hospital ( A Unit Of,(NBEMS) FAMILY MEDICINE,Open,,25580.0,,
Apollomedics Superspeciality,(NBEMS) FAMILY MEDICINE,Open,,32946.0,,
Artemis Health Institute,(NBEMS) FAMILY MEDICINE,Open,,32810.0,,
Asarfi Hospital,(NBEMS) FAMILY MEDICINE,Open,,38647.0,,
Balrampur Hospital,(NBEMS) FAMILY MEDICINE,OBC,,30211.0,,
C.S.I. Kalyani General,(NBEMS) FAMILY MEDICINE,Open,,34621.0,,
Christian Institute Of Health,(NBEMS) FAMILY MEDICINE,Open,,35991.0,,
Down Town Hospital,(NBEMS) FAMILY MEDICINE,Open,,37514.0,,
Dr. Kamakshi Memorial,(NBEMS) FAMILY MEDICINE,Open,,34700.0,,
Dr. Rangarajan Memorial,(NBEMS) FAMILY MEDICINE,Open,,34413.0,,
Esic Dental College And,(NBEMS) FAMILY MEDICINE,OBC,,30839.0,,
Esic Dental College And,(NBEMS) FAMILY MEDICINE,SC,,52226.0,,
Esic Medical College,(NBEMS) FAMILY MEDICINE,SC,,50236.0,,
Esic Medical College Hospital,(NBEMS) FAMILY MEDICINE,SC,,49416.0,,
Government Medical College,(NBEMS) FAMILY MEDICINE,OBC,,38371.0,,
Government Medical College,(NBEMS) FAMILY MEDICINE,SC,,64109.0,,
Government Medical College,(NBEMS) FAMILY MEDICINE,ST,,103518.0,,
Govt. Medical College,(NBEMS) FAMILY MEDICINE,Open,,34180.0,,
Govt. R. D. B. P. Jaipuria,(NBEMS) FAMILY MEDICINE,EWS,,24887.0,,
Holy Spirit Hospital,(NBEMS) FAMILY MEDICINE,Open,,23365.0,,
Iqraa International Hospital,(NBEMS) FAMILY MEDICINE,Open,,13819.0,,
Indira Gandhi Govt. General,(NBEMS) FAMILY MEDICINE,Open,,32815.0,,
Jai Prakash District,(NBEMS) FAMILY MEDICINE,Open,,18390.0,,
Jaiprakash Hospital And,(NBEMS) FAMILY MEDICINE,Open,,35539.0,,
K.G. Hospital And Pg Medical,(NBEMS) FAMILY MEDICINE,Open,,35998.0,,
Kamalnayan Bajaj Hospital,(NBEMS) FAMILY MEDICINE,Open,,33945.0,,
Kerala Institute Of Medical,(NBEMS) FAMILY MEDICINE,Open,,23285.0,,
Masina Hospital,(NBEMS) FAMILY MEDICINE,Open,,32159.0,,
Max Super Specialty Hospital,(NBEMS) FAMILY MEDICINE,Open,,32516.0,,
Meenakshi Mission Hospital,(NBEMS) FAMILY MEDICINE,Open,,34047.0,,
Narayana Hrudayalaya,(NBEMS) FAMILY MEDICINE,Open,,27873.0,,
Rural Development Trust,(NBEMS) FAMILY MEDICINE,Open,,34639.0,,
S. K. S. Hospital,(NBEMS) FAMILY MEDICINE,Open,,36487.0,,
Sbls Civil Hospital,(NBEMS) FAMILY MEDICINE,Open,,35011.0,,
Sbls Civil Hospital,(NBEMS) FAMILY MEDICINE,SC,,54768.0,,
Sparsh Super Specialty,(NBEMS) FAMILY MEDICINE,Open,,34218.0,,
Sri Sathya Sai General,(NBEMS) FAMILY MEDICINE,Open,,34828.0,,
St. Stephen`S Hospital,(NBEMS) FAMILY MEDICINE,Open,,26534.0,,
Vadamalayan Hospitals,(NBEMS) FAMILY MEDICINE,Open,,37424.0,,
Santokbha Durlabhji Memorial Hospital Cum Medical Research Institute,(NBEMS) GENERAL MEDICINE,Open,2580.0,,,
Dr. Babasaheb Ambedkar Central Railway Hospital,(NBEMS) GENERAL MEDICINE,Open,3074.0,,,
K.J. Somaiya Medical College,(NBEMS) GENERAL MEDICINE,Open,3116.0,,,
Sadhu Vaswani Missions,(NBEMS) GENERAL MEDICINE,Open,3248.0,,,25986.0
Aig Hospital,(NBEMS) GENERAL MEDICINE,Open,3392.0,,,
Shri Jagannath Medical College And Hospital,(NBEMS) GENERAL MEDICINE,Open,3468.0,,,
Iqraa International Hospital And Research Centre,(NBEMS) GENERAL MEDICINE,Open,3639.0,,,
Maharaja Agrasen Medical College,(NBEMS) GENERAL MEDICINE,Open,4095.0,,,
Gmers Medical College And Hospital,(NBEMS) GENERAL MEDICINE,Open,4226.0,,,
Aditya Birla Memorial Hospital,(NBEMS) GENERAL MEDICINE,Open,4249.0,,,
Sanjay Gandhi Memorial Hospital,(NBEMS) GENERAL MEDICINE,EWS,4295.0,,,
Mgm New Bombay Hospital,(NBEMS) GENERAL MEDICINE,Open,4408.0,,,
Seth V. C. Gandhi And M. A. Vora Municipal General Hospital (Rajawadi,(NBEMS) GENERAL MEDICINE,Open,4450.0,,,
Bharatratna Dr. Babasaheb Ambedkar Municipal General Hospital,(NBEMS) GENERAL MEDICINE,OBC,4512.0,,,
Hcg Hospital,(NBEMS) GENERAL MEDICINE,Open,4597.0,,,
Esic Hospital,(NBEMS) GENERAL MEDICINE,Open,4662.0,,,
Kims Sunshine Hospital (Formerly Known As Sunshine Hospital),(NBEMS) GENERAL MEDICINE,Open,4758.0,,,
Deen Dayal Upadhyay Hospital,(NBEMS) GENERAL MEDICINE,Open,4793.0,,,16863.0
Saideep Healthcare And Research Pvt Ltd,(NBEMS) GENERAL MEDICINE,Open,4850.0,,,
Shree Mahavir Health And Medical Relief Society Hospital,(NBEMS) GENERAL MEDICINE,Open,5002.0,,,12644.0
Sushrut Hospital And Research Centre,(NBEMS) GENERAL MEDICINE,Open,5085.0,,,
Kauvery Hospital,(NBEMS) GENERAL MEDICINE,Open,5191.0,,,
Baps Pramukh Swami Hospital,(NBEMS) GENERAL MEDICINE,Open,5193.0,,,10743.0
Hindu Rao Hospital,(NBEMS) GENERAL MEDICINE,Open,5219.0,,,
Ashwani Sahakari Rugnalaya,(NBEMS) GENERAL MEDICINE,Open,5229.0,,,
U.P. Rural Instiute Of Medical Sciences And Research,(NBEMS) GENERAL MEDICINE,Open,5240.0,,,
Andaman And Nicobar Islands Institute Of Medical Sciences,(NBEMS) GENERAL MEDICINE,Open,5285.0,,,
Cardinal Gracias Memorial Hospital Trust,(NBEMS) GENERAL MEDICINE,Open,5288.0,,,
Fortis Escorts Hospital,(NBEMS) GENERAL MEDICINE,Open,5289.0,,,
T.S.R.T.C. Hospital,(NBEMS) GENERAL MEDICINE,EWS,5396.0,,,
